,股票A,股票B,债券A,商品A,ETF-A
2018-01-01,100.46977212748412,98.97433230530432,99.91631767065937,99.46246163309117,99.05743541314281
2018-01-02,101.82987018373335,99.67960650987487,100.03309907099778,98.114413388671,100.80156166334324
2018-01-03,101.39034905780744,99.8894476357202,101.13979180641275,99.47109407164494,101.69476295322013
2018-01-04,101.17488569750795,99.90137314570093,101.914920876693,101.60509608671195,101.89762623953334
2018-01-05,99.20610473878733,97.85569185791789,102.28954389720151,99.78975802375213,101.34602017448996
2018-01-08,98.4438362267848,96.87360702734432,102.45272483839346,101.07618892571068,100.9691441969708
2018-01-09,99.6233576064806,98.66901122409006,102.49945801563058,99.87203315075506,103.25971758972598
2018-01-10,99.34918153097641,101.70092226503333,102.51642349674299,101.32144746500677,104.39094326847496
2018-01-11,98.66987590993325,100.99728092452986,103.21951995780154,100.05216207538905,103.90060795469999
2018-01-12,99.80876072033618,101.0941347603924,104.13366665848982,101.80332873778832,104.17500044065864
2018-01-15,99.22057223630445,100.95891370594461,103.43075146426067,101.70357591670991,103.3243658815
2018-01-16,97.90789804815917,99.51394468345775,102.75453423895891,101.2840896861973,101.98771357846093
2018-01-17,97.22275997885737,100.76245644985696,102.47325611217668,102.19069900465132,102.59330512143785
2018-01-18,96.67569973322549,98.38303522852227,102.7483992017713,100.36924868239163,101.65264333330765
2018-01-19,97.91469448404887,99.010957904944,103.86976299068516,98.01378215754565,101.29750721219143
2018-01-22,97.20116042467568,98.32518949141334,104.72073284091505,96.72583196216242,100.39372337135913
2018-01-23,98.17844568716147,97.89248287810767,105.44021675339512,96.84421927068685,101.47280338479217
2018-01-24,99.12585233035524,98.85157829748984,105.48069816123622,96.6148582391953,102.91568100334088
2018-01-25,99.14895553638432,99.79983081658328,105.75468870540416,95.36110406768763,103.3807999514114
2018-01-26,100.83141386475238,101.78439145575268,106.05758434942265,97.17029075104836,104.80707028004768
2018-01-29,101.42495053310341,103.70380084250974,106.30214861858849,99.74654880882491,105.94994930224992
2018-01-30,102.3929285990135,104.22489571622656,106.516583204541,97.02686459178676,106.84677750499789
2018-01-31,105.32175433227798,106.98824883753706,106.37110422986346,99.78179711384198,107.1386876729372
2018-02-01,104.90619598445889,107.47816020044401,105.67934478393055,99.23331592085275,106.03311506372715
2018-02-02,103.78140460336486,104.81314113729879,105.66313527677329,99.37090732667603,106.1447974137226
2018-02-05,100.95578003715504,101.75606662081749,105.56977074639458,97.28898567976758,103.53826386150725
2018-02-06,102.13933291130768,104.7343018550482,105.94154361521764,99.3640308439121,104.10554772652354
2018-02-07,100.49321174647064,102.53960894915679,106.17693616537332,97.96599796909821,101.806439971262
2018-02-08,100.32753577553646,104.1800012794181,105.97526403133939,96.0109848010235,101.9082634783544
2018-02-09,98.49305104015873,103.3879629432942,105.4172808617189,96.15995575865342,99.94201667549093
2018-02-12,98.25067170058928,103.78961852268893,105.19930103910424,95.36696891013827,99.71902229775857
2018-02-13,99.73342217670137,105.52990791580427,105.4161144520181,94.42857997452721,102.28422033445901
2018-02-14,101.35266455191854,106.5203506585311,105.41171762021352,95.10672612532488,104.50977571887015
2018-02-15,102.3867376024533,105.17241555887693,106.12129543650339,93.85571374920299,105.45910861426613
2018-02-16,102.87658201627403,106.03117719745117,105.92082544468147,96.01896306105942,105.5084507106868
2018-02-19,102.73934457191724,103.84112731951167,104.81544710148094,95.0268679638532,105.91882294917366
2018-02-20,101.34793411529827,103.32688283893725,104.59625779059012,94.99913471722563,104.27921543387335
2018-02-21,100.64849170444519,102.76905841885338,105.45933894355277,93.53928581547818,104.283928674875
2018-02-22,101.18395756695848,103.72620139572058,105.75313297320017,93.32388201353979,105.96169998173708
2018-02-23,100.48618912006835,102.68328472276005,106.20180101564173,93.80032677903952,105.00839967307168
2018-02-26,101.5457608081769,101.93799126154737,106.87729821313671,92.79008282513334,104.81520262344985
2018-02-27,103.16400580727468,103.09618820185618,105.16843980606588,93.58216526578283,106.35980816670383
2018-02-28,104.12878934099471,102.43504565905658,105.43084449076244,91.66804776379588,106.67398038766768
2018-03-01,102.66383523638203,101.17889338323154,105.3234545367345,91.49233145264006,105.79207682946613
2018-03-02,99.18805064577833,96.69145618832897,105.54023620797632,90.52368475506879,103.8167051145565
2018-03-05,97.44564528910206,96.06386548062554,105.15319709531319,88.96213121266572,103.14300243807072
2018-03-06,97.9722915215071,97.03824724667133,104.35269272984016,89.76030813901743,104.50747623435235
2018-03-07,96.13333320712611,95.02198571598746,103.8391854261373,91.12715795062293,103.26753482959302
2018-03-08,97.42454826449082,95.74973788517582,104.3869558665927,92.37051460792944,103.44242881089372
2018-03-09,97.87093073165131,96.44814140994774,103.8298099003843,93.23652958622411,102.40481519092552
2018-03-12,101.10515488821521,97.31106999501576,104.84086215871073,94.18167154647384,104.02871214753408
2018-03-13,102.13525571096392,99.15975770613221,104.51347019206862,93.40364283647932,104.90691060365087
2018-03-14,100.90205902265936,102.56819116552226,104.48845514106722,94.50049320158969,104.99067657521888
2018-03-15,102.12176532879673,106.27993971903682,104.61381443578743,94.3437493065593,106.82834538049535
2018-03-16,100.62122139436556,102.73949313437231,104.97456093347503,94.06440264356651,105.07995022046339
2018-03-19,100.08377648956251,102.72804709208047,105.0815306696236,93.17222099968642,104.60668593042428
2018-03-20,100.65448008754625,101.80915169304228,104.5534068181317,92.53707393346258,106.4584844057771
2018-03-21,102.8512146922117,104.02733248498105,105.0171666955432,95.49791866067976,107.9414154876096
2018-03-22,102.83942823356489,104.51896980007366,104.62322878000252,96.27918806411206,107.23077881338203
2018-03-23,104.56524038413535,105.8682906501514,104.40214664324527,96.28153121403432,108.21121848096627
2018-03-26,105.72727016662493,106.23523069522365,104.42321432281109,98.19471358144959,108.50212589563128
2018-03-27,106.35721973910594,107.36800990609596,104.50973559378896,96.51603561906329,108.79553165461364
2018-03-28,108.06729082199038,107.80508269508123,104.02222963676991,95.67258740746608,109.8195402863585
2018-03-29,108.48955337314605,108.50433790384926,104.0867243597517,94.86775980522171,110.01837159245495
2018-03-30,109.31540330779428,109.53136247286783,104.20151367121242,93.93406763861245,108.86916611155881
2018-04-02,112.03365045365533,111.49403568440593,104.13542429857866,94.4355181666684,110.74356233192854
2018-04-03,111.22497430666746,110.88762912627071,103.72266831012422,95.51566459405936,110.7100782939896
2018-04-04,110.91221829493362,110.92448756629932,103.82317007862854,96.63169219157288,109.90653004582649
2018-04-05,111.86413720271051,112.15073885513624,104.25962115974816,97.615181063803,111.09164124185213
2018-04-06,109.63891325459288,111.98959782822153,104.15357369115684,98.85403503309021,109.79731895306682
2018-04-09,110.71161935978154,111.88909525281872,104.4490129770766,96.8445804578605,111.00068072748482
2018-04-10,111.76366516578081,113.6831213424929,104.84196226179262,98.29988892866697,111.47511412229811
2018-04-11,112.36999105018737,114.04998713597725,104.58948489513259,95.81642575727989,112.00066962152124
2018-04-12,113.04249081869952,114.88618159321067,105.01305930497469,96.16250886665895,112.38831920272143
2018-04-13,114.62487087629876,114.09278345429044,104.0954537551889,95.7093779372202,113.09643195523833
2018-04-16,117.23327651023772,115.87659268849741,104.31424493504468,95.77652306564121,113.17798290393817
2018-04-17,116.27624458292796,118.5065949088639,104.51587868092258,97.48559040616314,112.89609655549609
2018-04-18,117.98183562714586,117.15657306235958,104.90670807249545,97.06793796960272,113.1733487891504
2018-04-19,119.40252928961945,120.04925411196513,104.03911094365333,97.61486171631698,113.00574721486893
2018-04-20,119.52172719859064,118.54888736195508,103.51200158045518,100.46816941672532,112.99506416877291
2018-04-23,120.94032286026206,120.71543220834448,103.78458273810797,103.62194604851116,113.88072912740867
2018-04-24,119.52880101320828,119.18526105199119,103.37057818322361,103.97245195250575,112.61663542013945
2018-04-25,117.7308123471586,118.67003696525464,102.682133960696,104.04627328697045,110.10676448395407
2018-04-26,120.29393409144664,120.93182712799478,102.71681872702807,103.30580540451801,111.2656732236162
2018-04-27,119.60843486112611,119.2005012025295,102.29852173499461,98.12926259018543,110.31574244557186
2018-04-30,118.49044887920559,116.09992052027465,102.84291161267727,97.31053277029059,108.06721565090538
2018-05-01,118.57830687019045,116.80655612830407,101.89492839436738,101.38981966532921,107.43636335001763
